Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,25-03-2024 16:45:54,25-03-2024 16:45:56,2.297s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Pass)",Chrome 123.0.0.0,,,25-03-2024 16:45:56,25-03-2024 16:45:57,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,25-03-2024 16:45:57,25-03-2024 16:45:57,0.375s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Swag Labs/AlertBox""), 0, OPTIONAL))",Chrome 123.0.0.0,,,25-03-2024 16:45:57,25-03-2024 16:45:57,0.100s,PASSED
delay(1),Chrome 123.0.0.0,,,25-03-2024 16:45:57,25-03-2024 16:45:58,1.009s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,25-03-2024 16:45:58,25-03-2024 16:45:59,0.250s,PASSED
,,,,,,,
Test Cases/LAB4_MinhNgoc,Chrome 123.0.0.0,,,25-03-2024 16:45:59,25-03-2024 16:46:06,7.212s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,25-03-2024 16:45:59,25-03-2024 16:46:00,1.618s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,25-03-2024 16:46:00,25-03-2024 16:46:01,0.859s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,25-03-2024 16:46:01,25-03-2024 16:46:03,2.280s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Pass)",Chrome 123.0.0.0,,,25-03-2024 16:46:03,25-03-2024 16:46:04,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,25-03-2024 16:46:04,25-03-2024 16:46:04,0.359s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Swag Labs/AlertBox""), 0, OPTIONAL))",Chrome 123.0.0.0,,,25-03-2024 16:46:04,25-03-2024 16:46:05,0.111s,PASSED
delay(1),Chrome 123.0.0.0,,,25-03-2024 16:46:05,25-03-2024 16:46:06,1.011s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,25-03-2024 16:46:06,25-03-2024 16:46:06,0.262s,PASSED
,,,,,,,
Test Cases/LAB4_MinhNgoc,Chrome 123.0.0.0,,,25-03-2024 16:46:06,25-03-2024 16:46:13,7.335s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,25-03-2024 16:46:06,25-03-2024 16:46:07,1.595s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,25-03-2024 16:46:07,25-03-2024 16:46:08,0.803s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,25-03-2024 16:46:08,25-03-2024 16:46:11,2.311s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Pass)",Chrome 123.0.0.0,,,25-03-2024 16:46:11,25-03-2024 16:46:11,0.720s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,25-03-2024 16:46:11,25-03-2024 16:46:12,0.424s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Swag Labs/AlertBox""), 0, OPTIONAL))",Chrome 123.0.0.0,,,25-03-2024 16:46:12,25-03-2024 16:46:12,0.194s,PASSED
delay(1),Chrome 123.0.0.0,,,25-03-2024 16:46:12,25-03-2024 16:46:13,1.007s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,25-03-2024 16:46:13,25-03-2024 16:46:13,0.248s,PASSED
